Stastic_use_course_num = ,1335,,,,,,,,,@
Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),@
CHEM 3120,Organic Chemistry II,3 Credit(s),CHEM 2110,,,,,,,Continuation of CHEM 2110.  Dienes@ resonance and aromaticity; electrophilic aromatic substitution and nucleophilic aromatic substitution; benzylic and allylic reactivity; the chemistry of carbonyl compounds and carboxylic acid derivatives; the chemistry of amines; pericyclic reactions.,@
CHEM 3220,Inorganic Chemistry II,3 Credit(s),CHEM 2210,,,,,,,Mechanism of inorganic reactions@ organometallic and bioinorganic chemistry@ catalysis.,@
CHEM 3320,Instrumental Analysis,3 Credit(s),CHEM 2310,,,,,,,Continuation of CHEM 2310.  Topics covered include electrochemistry@ mass spectrometry and separation sciences.,@
CHEM 3420,Physical Chemistry II,3 Credit(s),CHEM 2410,,,,,,,Basic quantum theory@ atomic and molecular structure@ equilibrium statistical thermodynamics.,@
CHEM 3550,Synthetic Chemistry Laboratory II,2 Credit(s),CHEM 2550,,CHEM 3120 AND CHEM 3220,,,,,This is the laboratory course corresponding to the lecture courses CHEM 3120 and CHEM 3220. The topics of experiments covered in the laboratory course will be related to those taught in the lecture courses@ such as electrophilic aromatic substitution and coordination chemistry@ etc. For CHEM students under the four-year degree only.,@
CHEM 3555,Molecular Characterization Chemistry Laboratory II,2 Credit(s),CHEM 2555,,CHEM 3320 AND CHEM 3420,,,,,This is the laboratory course corresponding to the lecture courses CHEM 3320 and CHEM 3420. The topics of experiments covered in the laboratory course will be related to those taught in the lecture courses@ such as quantum chemistry@  chemical instrumental analysis@ etc. For CHEM students under the four-year degree only.,@
CHEM 3610,Chemistry Internship,2-3 Credit(s),CHEM 3550 OR CHEM 3555,,,,,,,This course provides students with an opportunity to gain work experience in the  chemistry field. Students will undertake training and supervised internships in our collaborating organizations/units. Credits assigned for each offering may be different depending on the total workload hours required. For CHEM students with instructor#s approval only. Graded P or F.,@
CHEM 3928,Chemistry Undergraduate Seminar,1 Credit(s),,,,,,,,For Chemistry undergraduate students only.  Each student is required to carry out a literature search on a selected topic under the supervision of a faculty member.  He/she will submit a written report and give an oral presentation at the end of the semester. Graded P or F.,@
CHEM 4110,Structural Elucidation in Organic Chemistry,3 Credit(s),CHEM 3120,,,,,,,Use of modern ID- and 2D-NMR@ IR@ and Mass Spectrometric techniques for structure determination of organic molecules; theory of each technique with emphasis on development of problem-solving techniques.,@
CHEM 4120,Biomolecular Chemistry,3 Credit(s),CHEM 3120,,,,,,,This course will introduce the fundamental chemical principles underlying the structure@ properties@ and functions of biologically important molecules. Using the chemical concepts of bonding@ structure@ and structure-reactivity relationships developed in organic chemistry@ this course will cover topics on the stereochemistry@ structural diversity@ physicochemical properties@ and reactivity of amino acids@ peptides@ proteins@ nucleic acids@ carbohydrates@ and lipids to understand the molecular basis of their biological functions. Another major topic of this course is the preparation of these important biological molecules for understanding of their functions and exploitation of their biotechnological and medicinal values@ using available organic chemistry methods.,@
CHEM 4130,Medicinal Chemistry,3 Credit(s),CHEM 3120,,,,,,,This course will introduce the chemistry principles underlying the drug-target interaction and the development of drugs. One of its major topics is the molecular basis of the interaction of medicinal compounds with various biomolecules and the effect of their structure on their therapeutic activities. In addition@ this course will discuss the pharmacokinetics and pharmacodynamics properties of therapeutic agents and how these properties are related to their chemical structure. Moreover@ another focus of this course is the chemical strategies to discover and optimize lead compounds that can eventually develop into agents of therapeutic values. For CHEM students and students with instructor#s approval only.,@
CHEM 4140,Intermediate Organic Chemistry,3 Credit(s),CHEM 3120,,,,,,,Provides further training in the multistep organic synthesis of natural and unnatural products@ and will focus on the retrosynthetic analysis@ control of stereochemistry@ carbonyl group chemistry@ and pericyclic reactions with a brief coverage on new synthetic methodologies for efficient synthesis of compound libraries. A prerequisite for students wishing to take CHEM 5110/5120 as part of their undergraduate program.,@
CHEM 4150,Biomolecular Synthesis Laboratory,1 Credit(s),CHEM 3550,,CHEM 4155,,,,,This course provides hands-on experience for students in the biomolecular chemistry option. It focuses on synthesis of molecules of biological relevance@ such as small-molecule drugs@ peptides@ and DNA. For CHEM students under the four-year degree only. Students with minor in CHEM may seek instructor#s approval for enrollment in the course.,@
CHEM 4155,Biomolecular Characterization Laboratory,1 Credit(s),CHEM 3555,,CHEM 4150,,,,,This course provides hands-on experience for students in the biomolecular chemistry option. It focuses on characterization of biologically relevant molecules@ mainly nucleic acids and proteins. For CHEM students under the four-year degree only. Students with minor in CHEM may seek instructor#s approval for enrollment in the course.,@
CHEM 4160,Cheminformatics,3 Credit(s),CHEM 2110 AND (CHEM 2409 OR MATH 2351),,,,,,,Basics of Chemometrics; Database mining (CSD and PDB); Multivariate data sets@ statistics and data reduction; Data analysis and visualization; Molecular representation and chemical descriptors (e.g. SMILES / SMARTS patterns); Application to structure-based drug design.,@
CHEM 4210,Solid State Chemistry,3 Credit(s),CHEM 3220,,,,,,,Structure and bonding in solids; metals@ semiconductors and dielectrics; crystal chemistry of ceramics@ silicate minerals and zeolites; electrical@ optical and magnetic properties of solids; fullerene chemistry; introduction to x-ray diffraction@ electron microscopy@ etc.,@
CHEM 4220,Materials Chemistry,3 Credit(s),CHEM 3220,CHEM 5540@ NANO 5100,,,,,,An introduction of crystalline solids@ crystal structures@ materials synthesis and characterization techniques@ optical characterization methods@ semiconductors@ optical@ electrical and magnetic properties@ and nanoscale inorganic materials.,@
CHEM 4230,Materials Characterization Method,3 Credit(s),CHEM 2310 AND CHEM 2410,,,,,,,This course will introduce a selected series of materials characterization methods with an emphasis on the characterization methods of nanomaterials@ especially chemically processed nanomaterials. The characterization methods will include electron spectroscopies@ electron microscopies@ scanning probe microscopies@ and optical@ thermal@ mechanical@ scattering and diffraction methods. The course will provide a balanced mix of physical principles@ application considerations@ and practical examples of the characterization methods. For CHEM students and students with instructor#s approval only,@
CHEM 4240,Intermediate Inorganic Chemistry,3 Credit(s),CHEM 3220,,,,,,,Selected advanced topics in inorganic chemistry including spectroscopy (multinuclear NMR@ IR and UV/visible)@ solid state chemistry@ bioinorganic chemistry and catalysis.,@
CHEM 4250,Materials Preparation Laboratory,1 Credit(s),CHEM 3550,,CHEM 4255,,,,,This is a laboratory course for students to gain hands-on experiences in the preparation of modern materials. Students will have the opportunity to practice the synthesis of materials such as organic polymers@ nanoparticles and solid materials. For CHEM students under the four-year degree only. Students with minor in CHEM may seek instructor#s approval for enrollment in the course.,@
CHEM 4255,Materials Characterization Laboratory,1 Credit(s),CHEM 3555,,CHEM 4250,,,,,This is a laboratory course for students to gain hands-on experiences in the characterization of modern materials. The characterization techniques include thermal analysis@ gel permeation chromatography@ viscosity@ FT-IR@ fluorescence spectrometry@ and X-ray diffraction. For CHEM students under the four-year degree only. Students with minor in CHEM may seek instructor#s approval for enrollment in the course.,@
CHEM 4310,Environmental Chemistry,3 Credit(s),CHEM 2310 OR CHEM 2311,,,,,,,Chemical phenomena in the hydrosphere@ lithosphere and atmosphere; their interaction with the biosphere; origin and treatment of pollutants and hazardous waste; environmental monitoring and analysis.,@
CHEM 4320,Environmental Analytical Chemistry,3 Credit(s),CHEM 2310 OR CHEM 2311,,,,,,,Topics covered include fundamentals of sampling issues@ sample pretreatment techniques@ water Analysis of major and trace constituents; determination of inorganic and organic gas pollutants@ Atmospheric analysis of particulate matter@ determination of soil pollutants@ environmental control standards@ chemometrics in environmental analysis. For students with major or minor in Chemistry and in Environmental Science only.,@
CHEM 4330,Separation Science,3 Credit(s),CHEM 2310 or CHEM 2311,,,,,,,This course aims to provide an in-depth understanding of the working principles in separating substances by chemical and physical techniques. Topics in this course include: sample preparation for chromatographic analysis; instrumentation for gas and liquid chromatography; mass spectrometry@ and etc. Applications of various separation techniques for forensic@ environmental@ biological@ pharmaceutical@ food and drink analyses are provided as illustrating examples.,@
CHEM 4340,Bioanalytical Techniques,3 Credit(s),CHEM 2310 OR CHEM 2311,,,,,,,Topics covered include fundamentals of optical microscopic techniques@ protein analysis@ enzymatic bioassays; DNA techniques and biomicrofluidic techniques.,@
CHEM 4350,Environmental Chemistry Laboratory,1 Credit(s),(CHEM 2310 OR CHEM 2311) AND (CHEM 2350 OR CHEM 2355),,CHEM 4355,,,,,This is a laboratory course for students to gain hands-on experience in collecting and handling environmental samples. Experiments covered in this course will be related to collection@ preparation and chemical analysis of various environmental samples. Students should seek instructor#s approval prior to enrollment in the course.,@
CHEM 4355,Instrumental Analytical Chemistry Laboratory,1 Credit(s),(CHEM 2310 OR CHEM 2311) AND (CHEM 2350 OR CHEM 2355),,CHEM 4350,,,,,This is a laboratory course for students to gain hands-on experiences in operation of the modern instruments. The instruments include liquid chromatography@ gas chromatography@ ion chromatography@ mass spectrometer@ etc. Students should seek instructor#s approval prior to enrollment in the course.,@
CHEM 4410,Physical Chemistry in Biological Applications,3 Credit(s),CHEM 3420,,,,,,,This course covers the applications of physical chemistry in  biological science and emphasizes the capability in using the fundamental knowledge in physical chemistry to solve the latest research problems in the interdisciplinary areas. Topics include molecular interpretations of the laws of thermodynamics@ free energy and physical equilibria in membranes@ photochemistry and photobiology@ enzyme kinetics@ binding and conformation transitions@ spectroscopy of biomolecular structures and interactions.,@
CHEM 4420,Statistical Machine Learning Methods for Chemical Data Analysis,3 Credit(s),CHEM 2409 AND CHEM 2410,COMP 4211@ MATH 4432,,,,,,The basic knowledge of probability and statistics@ chemical data preparation and visualization; numerical methods for chemical data analysis: regression@ classification@ feature selection and neural network.,@
CHEM 4430,Symmetry in Chemistry and Spectroscopy,3 Credit(s),CHEM 2110 AND CHEM 2210 AND CHEM 2410,,,,,,,Symmetry principle and group theory@ molecular spectroscopy@ advanced topics in molecular orbital theory and bonding@ chemical kinetics.,@
CHEM 4550,Advanced Synthetic Laboratory,1 Credit(s),CHEM 3550,,CHEM 4555,,,,,This course provides hands-on experience for students in the pure chemistry option. It emphasizes on the advanced lab techniques such as the setup for air sensitive reaction and use of vacuum line. Experiment of different areas like metal catalyzed cross coupling@ regiospecific synthesis and preparation of a mimic model of natural catalyst will be included. For CHEM students under the four-year degree only. Students with minor in CHEM may seek instructor#s approval for enrollment in the course.,@
CHEM 4555,Advanced Molecular Characterization Laboratory,1 Credit(s),CHEM 3555,,CHEM 4550,,,,,This course is designed for chemistry major students who are enrolling in Pure Chemistry option. It provides students hands-on experience in the operation of different instruments including High Performance Liquid Chromatography (HPLC) and Differential Scanning Calorimeter (DSC) for characterization of organic products. For CHEM students under the four-year degree only. Students with minor in CHEM may seek instructor#s approval for enrollment in the course.,@
CHEM 4620,Organometallic Chemistry,3 Credit(s),CHEM 3220,,,,,,,Bonding@ structure and reactivity of organometallic compounds@ ligand substitution@ oxidative addition@ reductive elimination reactions@ insertions and reactions of coordinated ligands@ applications to catalytic processes and organic synthesis.,@
CHEM 4640,Chemistry for Advanced Solar Cell Technologies,3 Credit(s),(for Science students) CHEM 2110 AND CHEM 2410; (for Engineering students) CHEM 2111,,,,,,,Solar Cells are considered as one of the most promising renewable energy technologies. Conventional solar cells are based on inorganic materials such as silicon. In the past decade@ however@ several new solar cell technologies based on organic materials are emerging as promising alternatives to conventional solar cells.  This is an exciting and highly interdisciplinary area involving Chemistry@ Physics@ Materials Science@ and Electronic Engineering. The study on organic solar cells provides an excellent platform for Science and Engineering students to learn about how to do research in a multidisciplinary environment. Another key focus of this course is to improve students# communication and interview skills through in-class presentations and group discussions on cutting-edge technologies.,@
CHEM 4680,Undergraduate Research,3 Credit(s),CHEM 2150 AND CHEM 2250,,,,,,,Students do original research in accordance with their ability and background@ and under the supervision of a faculty. The final course grade is determined based on an oral presentation and a written report to be submitted to a judging committee@ which includes the faculty supervisor plus at least one other faculty. Enrollment in the course requires approval of the faculty supervisor.,@
CHEM 4688,Undergraduate Thesis,3 Credit(s),CHEM 4680,,,,,,,Offered every semester and Summer.  Students do original research in accordance with their ability and background and under the supervision of a faculty.  The final course grade is determined based on an oral presentation and a written thesis to be submitted to a judging committee@ which includes the faculty supervisor plus at least one other faculty.  The thesis should include the results of the original research carried out in CHEM 4680.,@
CHEM 4689,Capstone Project,3 Credit(s),CHEM 3550 AND CHEM 3555,CHEM 4691,,,,,,Under the supervision of a faculty member or teaching staff@ students will complete a capstone project which requires the integration of the chemical knowledge learnt from their previous courses. The project can be delivered through the format of literature review@ research@ or practical study. A written report and an oral presentation are required to document their learning experiences. For CHEM students under the four-year degree only. Students should seek instructor#s approval prior to enrollment in the course.,@
CHEM 4691,Capstone Research I,3 Credit(s),CHEM 3550 AND CHEM 3555,CHEM 4689,,,,,,Students will carry out a research project in one of the Chemistry research laboratories under the supervision of a faculty member. This research-based course provides students an opportunity to integrate and apply their chemical knowledge learnt in regular lecture and laboratory courses. At the end of the course@ students are required to submit a written report and deliver an oral presentation to document their learning experiences. For CHEM students only. Students should seek instructor#s approval prior to enrollment in the course.,@
CHEM 4692,Capstone Research II,3 Credit(s),CHEM 4691,,,,,,,Continuation of research project started in CHEM 4691 and to be conducted under the supervision of a faculty member/teaching staff. A written report and oral presentation are required to document their learning experiences. Students should seek instructor#s approval prior to enrollment in the course.,@
CIVL 1010,Academic and Professional Development I,0 Credit(s),,,,,,,,A compulsory@ one year course for CIVL/CIEV/CIGBM students only. This course is designed to provide academic advising to students and/or to develop students# interpersonal skills in handling technical and non-technical issues in their professional careers. Graded P@ PP or F.,@
CIVL 1100,Discovering Civil and Environmental Engineering,3 Credit(s),,,,,,,,A general overview of civil and environmental engineering@ infrastructure development and engineering ethics is provided. The course includes both lectures and laboratory sessions@ where the laboratory sessions are primarily directed to students who require the development of feasible conceptual solutions for the analysis and design of the basic problems in structural@ geotechnical and environmental engineering. For first year engineering students under the four‐year degree curriculum only.,@
CIVL 1120,Exploring Earthquake Engineering,3 Credit(s),Level 3 or above in HKDSE 1/2x or 1x Physics OR a passing grade in HKCEE Physics,,,,[EXP] Experiential learning,,,This course intends to facilitate student#s exploration in earthquake engineering through hands-on experiments. Students are grouped to design and build scaled building models using wood@ glue@ strings and rubber bands@ which are loaded and tested on a shake table under simulated earthquake ground motion. Through the design@ build and test process@ students can observe the effect of different design variables and details on the test result. Students are then guided to interpret the observations@ identify possible issues@ explore relevant knowledge@ and propose viable options for improvement. Students need to reflect what they have learned on a revised building model and contest other groups in a final competition.,@
CIVL 1140,Environmental Quality Control and Improvement,3 Credit(s),,,,,,,,Introduction to up-to-date environmental issues in both local and global scales; providing essential physical@ chemical@ biological and societal concepts required to understand the nature of pollution and environmental problems; applying science@ engineering@ management and social science approaches to solutions to environmental issues that affect our water@ air@ land@ eco-systems@ living environment@ and sustainable development. The objective of this course is to equip our next generation leaders in different disciplines with enhanced environmental awareness and knowledge of tools and solutions to environmental issues. They will therefore be able to make responsible decisions and actions@ with due consideration of the environment and sustainability. Each lesson is divided into two parts. The first part is the introduction and discussion of essential concepts and environmental issues and debates of these issues and will be delivered and guided by the instructor. The second part involves presentations of projects@ focus studies@ or service learning activities of new@ emerging environmental issues selected by student groups@ with emphases on solutions to the issues.,@
CIVL 1150,Climate Change Impacts and Extreme Weather Events,3 Credit(s),,,,,,,ENVR 1150,As the extreme weather events emerge as one of the most prominent global risks@ climate change and the accompanying natural disasters are no longer a side agenda@ but play a critical role in maintaining sustainable societies and economies. This course aims to inspire students to take a broader perspective on environmental issues@ in addition to advancing the scientific knowledge of climate change and extreme weather. To effectively achieve this purpose@ the course introduces the case studies that emphasize the huge implications of extreme events (e.g. drought@ flood@ heat waves@ typhoon) and their linkage with the warming due to greenhouse gases. This course also assesses the potential impacts of climate changes and extremes on social@ economic and environmental sustainability through a multidisciplinary approach.,@
CIVL 1160,Civil Engineering and Modern Society,3 Credit(s),,CIVL 1100,,,,,,An introduction to civil engineering practice and infrastructure development@ with an emphasis on Hong Kong projects. The basic principles@ materials and technology used in typical civil engineering works such as foundations@ buildings@ bridges@ slopes and water supply systems@ etc. Infrastructure management and maintenance issues; social-economic aspects of large-scale civil engineering projects such as environmental protection@ urban planning and development@ etc.,@
CIVL 1170,Big History@ Sustainability and Climate Change,3 Credit(s),,,,,,,ENVR 1170,Big History as an emerging interdisciplinary framework@ provides a long term perspective to see the world through reconstructing the history from the big bang all the way to the present. In such a longer time scale@ overview of stars@ planetary and species evolution@ as well as concepts in climate change and how it is related to sustainability of the planet#s environment for its current inhabitants@ including humanity@ will be discussed. The physical science basis@ impacts@ risk@ mitigation and adaptation measures of climate change will also be investigated (including technical and social solutions). For local and regional vulnerabilities@ such as extreme weather events@ sea-levels rise@ storm surge and coastal flooding@ will be covered. The significance of collective learning under the big history framework@ both as a driver for our exponentially growing impacts@ as well as for better solutions@ will be highlighted.,@
CIVL 2010,Academic and Professional Development II,0 Credit(s),,,,,,,,Continuation of CIVL 1010. Graded P@ PP or F.,@
CIVL 2020,Industrial and BIM Training,0 Credit(s),,,,,,,,A practical training course in an industrial simulated environment. For students of the Civil and Environmental Engineering Department only. Graded P@ PP or F.,@
CIVL 2110,Statics,3 Credit(s),PHYS 1112 OR PHYS 1312,,MATH 1014 OR MATH 1020 OR MATH 1024,,,,,Application of Newton#s laws to engineering problems; statics of particles; rigid bodies; equivalent systems of forces; equilibrium of rigid bodies; distributed forces; centroids; moments of inertia; analysis of truss & frame structures; axial@ shear and bending moment diagrams; friction.,@
CIVL 2120,Mechanics of Materials,3 Credit(s),CIVL 2110,MECH 2040,,,,,,Analysis of stress@ strain and deformation; linear and non-linear material behavior; strain energy; bending of beams@ deflection; stability and buckling of compression members; shear and torsional stresses.,@
CIVL 2160,Modeling Systems with Uncertainties,3 Credit(s),,MATH 2411,MATH 1014 OR MATH 1020 OR MATH 1024,,,,,Identification and modeling of non-deterministic problems in civil engineering@ and the treatment thereof relative to engineering design and decision making. Development of stochastic concepts and simulation models@ and their relevance to real design and decision problems in various areas of civil engineering.,@
CIVL 2170,Infrastructure Systems Engineering and Management,3 Credit(s),MATH 2350,IEDA 3010,,,,,,This course will cover basic principles and techniques for analyzing engineering systems. It will entail an introduction to linear programs@ network analysis@ critical path method@ benefit-cost and present value analyses of engineering projects.,@
CIVL 2410,Environmental Assessment and Management,3 Credit(s),(CHEM 1010 OR CHEM 1020) AND CIVL 1100,,,,,,,Present current environmental issues and management concepts; apply essential chemical and physical principles required to understand pollution problems; integrate knowledge from science and engineering to solve and assess environmental problems affecting water@ air@ noise and waste; cover concepts@ ordinances and case studies of environmental impact assessment of civil infrastructure projects.,@
CIVL 2510,Fluid Mechanics,3 Credit(s),MATH 2011,MECH 2210,CIVL 2110,,,,,An introduction to the mechanics of fluids@ including fluid statics@ kinematics and fundamental equations of fluid flow@ laminar and turbulent flow@ boundary layers and applications in the design of hydraulic structures.,@
CIVL 2810,Construction Materials,3 Credit(s),,,CIVL 2120,,,,,Properties of engineering materials and their relation to the internal structure of materials; includes physical properties of construction materials like portland cement concrete@ asphalt@ polymers@ ferrous metals and non-ferrous metals.,@
CIVL 3010,Academic and Professional Development III,0 Credit(s),,,,,,,,Continuation of CIVL 2010. Graded P@ PP or F.,@
CIVL 3020,Internship Training,0 Credit(s),CIVL 2020,,,,,,,For students of the Civil and Environmental Engineering Department only. Internship training provides students the opportunity to gain professional experience and to apply theories to real-life situations. Students are required to complete a minimum of six weeks on-the-job training in civil engineering consulting firms@ contractors@ developers or relevant government departments@ or an equivalent of 5-week mock construction training under the supervision of professional practitioners. Graded P or F.,@
CIVL 3210,Introduction to Construction Management,3 Credit(s),,,,,,,,This course covers the basic knowledge@ skills and techniques in construction management. It entails an introduction to the construction industry@ initial and feasibility studies@ impact assessment@ tendering process@ local statutory ordinances@ contract strategy and management@ cost estimation and control@ project finance@ resource allocation@ and site safety. For CIVL and CIEV students only.,@
CIVL 3310,Structural Analysis,3 Credit(s),CIVL 2110 AND CIVL 2120,,,,[BLD] Blended learning,,,Structural forms and modeling@ statically determinate structures@ statically indeterminate structures@ force and displacement methods@ deflections of structures@ influence lines@ approximate analysis@ energy methods.,@
CIVL 3320,Reinforced Concrete Design,3 Credit(s),CIVL 2810 AND CIVL 3310,,,,,,,Ultimate limit state design of reinforced concrete beams@ slabs@ columns@ and beam-column joints; serviceability limit states of deflection and cracking.,@
CIVL 3420,Water and Wastewater Engineering,3 Credit(s),CIVL 1140 OR CIVL 2410,,,,,,,Introduction to basic concepts of water quality@ fundamentals of water and wastewater treatment processes@ analysis of treatment process flowsheets@ analysis of water quality management alternatives.,@
CIVL 3510,Hydrosystems Engineering,3 Credit(s),CIVL 2510,,CIVL 2160,,,,,This course introduces basic and fundamental knowledge essential to the design and analysis of hydrosystems engineering problems (e@g.@ water supply@ flood control@ stormwater drainage@ etc.). The course consists of two interrelated parts: hydrology and hydraulics. Hydrology covers various processes of water cycle (including precipitation@ infiltration@ rainfall-runoff modeling@ and flow routings) that produce loads on hydrosystems. Hydraulics@ on the other hand@ applies fluid mechanics principles to the design and analysis the capacity of hydrosystems infrastructures such as pipe networks and channel networks as well as hydraulic machinery.,@
CIVL 3610,Traffic and Transportation Engineering,3 Credit(s),,,CIVL 2170,,,,,For students of the Civil and Environmental Engineering Department only. Introduction to transportation systems; characteristics of transportation models; traffic flow fundamentals; geometric design of highways; travel demand analysis including trip generation@ modal split and trip assignment.,@
CIVL 3730,Fundamentals of Geotechnics,3 Credit(s),CIVL 2120,,,,,,,This course will focus on the geotechnical mechanics and associated soil behavior@ including basic engineering geology@ characteristics of soils@ soil compaction@ the principle of effective stress@ shear strength of soils@ the concept of critical state modeling@ permeability@ seepage problems@ ground settlement and consolidation. The laboratory section consists of five different experiments. For CIVL and CIEV students under the four-year degree only.,@
CIVL 3740,Geotechnical Analysis and Design,3 Credit(s),CIVL 3730,,,,,,,Introduction to geotechnical analysis and design including slope stability analysis@ bearing capacity of soils@ lateral earth pressures@ design of retaining wall@ shallow and piled foundations@ geotechnical centrifuge modeling and field monitoring.,@
CIVL 4100,Special Topics,1-4 Credit(s),,,,,,,,Selected topics in Civil Engineering of current interest to the Department and not covered by existing courses.,@
CIVL 4250,Project Management and Finance,3 Credit(s),,,,,,,,This course introduces the basic methods@ tools and techniques in managing and financing a project.  Management subjects cover project planning@ cost management@ time management@ materials management@ change management@ construction labor@ safety management@ and communication management.  Financial subjects cover debt and equity finance@ project risk analysis@ cost and benefits of political risk insurance@ project funding and cash flow@ option pricing@ and credit scoring of project finance debt.  Programming issues and Monte Carlo simulation for project management and finance models will also be discussed.,@
CIVL 4270,Construction Law and Contract Administration,3 Credit(s),,,,,,,,The course covers legal and contractual issues that may affect practicing engineers in their planning@ design@ construction and management of engineering projects.  Topics include general principles of common and civil legal systems@ the Hong Kong legal environment@ contract laws@ tort laws@ company laws@ laws on evidence and the building laws.  The course also covers topics such as conflict of laws and international commercial arbitrations@ engineers acting as expert witness in court and arbitral tribunals.,@
CIVL 4320,Structural Steel Design,3 Credit(s),CIVL 3310,,,,,,,Limit state design of steel structures@ stability analysis of thin-walled members@ design of tension members@ columns@ beams@ plate girders@ beam-columns@ structural connections@ plastic analysis and design.,@
CIVL 4330,Introduction to Structural Dynamics,3 Credit(s),CIVL 2120 AND MATH 2011 AND MATH 2350,MECH 4750,,,,,,Single degree of freedom systems@ multi-degree of freedom systems@ continuous systems@ random vibrations@ dynamic behavior under wind loads and earthquakes.,@
CIVL 4340,Prestressed Concrete Design,3 Credit(s),CIVL 3320,,,,,,,Historical development; methods of prestressing@ elastic analysis and design; flexural and shear capacity; losses of prestress; anchorage zones; composite members; design procedures and applications.,@
CIVL 4350,Design of Structural Systems,3 Credit(s),CIVL 3320 and CIVL 4320,,,,,,,Structural systems for buildings@ loads on structures@ selection of structure schemes@ preliminary analysis and design@ computer-aided proportioning@ special consideration in high-rise structures@ composite design.,@
CIVL 4370,Computer Methods of Structural Analysis,3 Credit(s),CIVL 3310,,,,,,,Matrix formulation of structural analysis using stiffness method@ solution of linear equations@ applications to civil engineering structures@ modeling of large and complex structural systems.,@
CIVL 4380,Introduction to Wind Effects on Buildings and Structures,3 Credit(s),,CIVL 5370,,,,,,Basic meteorology@ structure of wind near the ground@ wind induced vibrations@ wind loading codes@ wind tunnel test techniques.,@
CIVL 4430,Environmental Impact Assessment,3 Credit(s),CIVL 1140 or CIVL 2410,CENG 4720,,,,,,This course describes relationship of environmental impact assessment (EIA) and environmental policy act; methods and procedures for environmental impact identification@ prediction@ evaluation and mitigation; contents in an EIA report.,@
CIVL 4440,Environmental Systems Analysis,3 Credit(s),CIVL 2410 OR ENVR 2010,,,,,,,This course introduces principles of systems analysis for the planning and management of the environment. The course aims to provide students with the ability to define environmental systems@ evaluate alternatives for making optimal decisions@ and develop sustainable solutions. Simple to complex case studies are used to present concepts of environmental modeling and single-objective optimization to identify best strategies for environmental quality control. Concepts of multi-objective optimization and Pareto efficiency are also presented for solving problems with conflicting economic and environmental goals. These key concepts are applied to a selection of environmental problems@ including problems of water and air quality@ solid waste management@ and climate change.,@
CIVL 4450,Carbon Footprint Analysis and Reduction,3 Credit(s),CIVL 2410 OR ENVR 3210,,,,,,,This course aims to provide students with an understanding of the sources and impacts of climate change@ national and international policies@ Kyoto Protocol@ carbon credits and offset concepts. As engineers to be@ students will also be able to calculate organization#s carbon footprint@ identify suitable mitigation strategies and provide carbon reduction solutions.,@
CIVL 4460,Process Design of Environmental Engineering Facilities,3 Credit(s),CIVL 3420,,,,,,,Basic principles in the process design of environmental engineering facilities@ such as water and wastewater treatment systems@ pump station@ as well as sanitary landfill disposal.,@
CIVL 4470,Air Quality Control and Management,3 Credit(s),,,,,,,ENVR 4470,Historical and health impact studies related to air pollution. Atmospheric stability and its impact on the transport and dispersion of pollutants. Sources of major air pollutants. Comparison of urban@ industrial and transport related air pollution issues@ using Hong Kong and Pearl River Delta as examples. Control of stationary and mobile emission sources. Air quality management - framework@ policy tools and comparison of different approaches.,@
CIVL 4480,Climate Modeling and Risk Assessment,3 Credit(s),MATH 1003 OR MATH 1012 OR MATH 1013 OR MATH 1020 OR MATH 1023,,,,,CIVL 4100E,ENVR 4480,Climate models are the complex mathematical representation of the major climate system components (e.g. atmosphere@ ocean@ land surface@ etc) and their interactions. Climate models have proved to be the most valuable tools in understanding climate processes that determine the response of the climate system to anthropogenic forcings@ such as increases in greenhouse gases concentrations and land use changes. This course provides an introduction to the physical principles of climate model as well as all procedures related to climate modeling. Some classes will be taught in the computer laboratory@ where students will perform their own simulations using web-based climate model and analyze the results. In addition@ this course explores the challenge of understanding and managing the risks of climate extremes.,@
CIVL 4520,Municipal Hydrosystems Engineering and Management,3 Credit(s),CIVL 2160,,,,,,,The course integrates the knowledge of hydrology@ hydraulics@ statistics@ economics@ and optimization in the dealing with municipal hydrosystems engineering and management. In particular@ focuses will be given to quantity aspect of water supplies and water excesses. The hydrosystems to be covered include water distribution@ urban sewage and stormwater drainage@ reservoirs/detention facilities@ pumps@ etc.,@
CIVL 4560,Urban Hydroclimate and the Built Environment,3 Credit(s),,,,,,CIVL 4100H,,"This course is a mixture of lecture@ reading@ and group project focused on urban hydroclimate and the built environment@ particularly their interactions through the energy-water-climate nexus. Lectures will cover mathematical laws and physical concepts of heat@ moisture and mass transport in the built environment@ as well as implications of urban hydroclimate on smart city development in the 21st century. Through hands-on tutorials@ students will learn a numerical model and use it to explore the impact of neighborhood design on urban thermal environment@ including
the usage of novel engineering materials@ urban landscape and building technology.",@
